"X2014" "X2013"
"1" 2.430924 2.552006
"2" 4.230369 4.109043
"3" 7.156025 7.655604
"4" 11.156083 11.546741
"5" 16.138785 16.461851
"6" 19.690439 19.910171
"7" 22.057678 22.780948
"8" 25.453556 26.635402
"9" 29.97068 30.563245
"10" 35.457114 34.535585
"11" 41.676414 41.105538
"12" 47.97579 46.923401
"13" 56.708488 53.611772
"14" 65.385866 62.639268
"15" 74.91866 72.02226
"16" 85.823373 81.113489
"17" 91.059143 87.816633
"18" 94.712835 92.467523
"19" 95.578669 91.18428
"20" 92.76704 87.866977
"21" 86.003276 82.96092
"22" 76.722819 73.391015
"23" 64.282773 61.025275
"24" 51.95392 49.586348
"25" 40.189709 37.69453
"26" 29.68949 28.418465
"27" 19.852169 19.513026
"28" 13.053453 12.576797
"29" 8.258074 7.020254
"30" 4.331115 3.995341
"31" 2.48615 2.085098
"32" 1.342089 1.220221
"33" 0.679506 0.576464
"34" 0.429175 0.370461
"35" 0.608741 0.47195
