"row_names" "age" "X2014" "X2013" "year_equal" "age_groups"
"1" 1 2 3 FALSE "15_20"
"2" 2 4 4 TRUE "15_20"
"3" 3 7 8 FALSE "15_20"
"4" 4 11 12 FALSE "15_20"
"5" 5 16 16 TRUE "15_20"
"6" 6 20 20 TRUE "15_20"
"7" 7 22 23 FALSE "21_25"
"8" 8 25 27 FALSE "21_25"
"9" 9 30 31 FALSE "21_25"
"10" 10 35 35 TRUE "21_25"
"11" 11 42 41 FALSE "21_25"
"12" 12 48 47 FALSE "26_30"
"13" 13 57 54 FALSE "26_30"
"14" 14 65 63 FALSE "26_30"
"15" 15 75 72 FALSE "26_30"
"16" 16 86 81 FALSE "26_30"
"17" 17 91 88 FALSE "31_35"
"18" 18 95 92 FALSE "31_35"
"19" 19 96 91 FALSE "31_35"
"20" 20 93 88 FALSE "31_35"
"21" 21 86 83 FALSE "31_35"
"22" 22 77 73 FALSE "36_40"
"23" 23 64 61 FALSE "36_40"
"24" 24 52 50 FALSE "36_40"
"25" 25 40 38 FALSE "36_40"
"26" 26 30 28 FALSE "36_40"
"27" 27 20 20 TRUE "41_45"
"28" 28 13 13 TRUE "41_45"
"29" 29 8 7 FALSE "41_45"
"30" 30 4 4 TRUE "41_45"
"31" 31 2 2 TRUE "41_45"
"32" 32 1 1 TRUE "46_50"
"33" 33 1 1 TRUE "46_50"
"34" 34 0 0 TRUE "46_50"
"35" 35 1 0 FALSE "46_50"
